# METADATA: {"sensorType": "EMG", "channels": [0, 1], "samplingRate": 512, "startTime": 1772452661691, "endTime": 1772452662743, "duration": 1}
timestamp,ch0,ch1
1772452673837,0.7008002400398254,-3.8745574951171875
1772452673839,0.7393420338630676,-5.041218280792236
1772452673841,0.7755522727966309,-6.132949352264404
1772452673843,0.8090080618858337,-7.133596897125244
1772452673845,0.8393784165382385,-8.028359413146973
1772452673847,0.8663920760154724,-8.804009437561035
1772452673849,0.8898116946220398,-9.449091911315918
1772452673851,0.9094218015670776,-9.954089164733887
1772452673853,0.9250155687332153,-10.311570167541504
1772452673855,0.9363926649093628,-10.5162935256958
1772452673857,0.9433776140213013,-10.565289497375488
1772452673859,0.9458441734313965,-10.457905769348145
1772452673861,0.9437380433082581,-10.195810317993164
1772452673863,0.9370939135551453,-9.782974243164062
1772452673865,0.9260380268096924,-9.225604057312012
1772452673867,0.910775363445282,-8.53205680847168
1772452673869,0.8915727138519287,-7.712708950042725
1772452673871,0.868747353553772,-6.779806137084961
1772452673873,0.8426533341407776,-5.747276306152344
1772452673875,0.8136648535728455,-4.630525588989258
1772452673877,0.7821638584136963,-3.4462060928344727
1772452673879,0.7485389709472656,-2.211968183517456
1772452673881,0.7008002400398254,-3.8745574951171875
1772452673883,0.7393420338630676,-5.041218280792236
1772452673885,0.7755522727966309,-6.132949352264404
1772452673887,0.8090080618858337,-7.133596897125244
1772452673889,0.8393784165382385,-8.028359413146973
1772452673891,0.8663920760154724,-8.804009437561035
1772452673893,0.8898116946220398,-9.449091911315918
1772452673895,0.9094218015670776,-9.954089164733887
1772452673897,0.9250155687332153,-10.311570167541504
1772452673899,0.9363926649093628,-10.5162935256958
1772452673901,0.9433776140213013,-10.565289497375488
1772452673903,0.9458441734313965,-10.457905769348145
1772452673905,0.9437380433082581,-10.195810317993164
1772452673907,0.9370939135551453,-9.782974243164062
1772452673909,0.9260380268096924,-9.225604057312012
1772452673911,0.910775363445282,-8.53205680847168
1772452673913,0.8915727138519287,-7.712708950042725
1772452673915,0.868747353553772,-6.779806137084961
1772452673917,0.8426533341407776,-5.747276306152344
1772452673919,0.8136648535728455,-4.630525588989258
1772452673921,0.7821638584136963,-3.4462060928344727
1772452673923,0.7485389709472656,-2.211968183517456
1772452673925,0.7008002400398254,-3.8745574951171875
1772452673927,0.7393420338630676,-5.041218280792236
1772452673929,0.7755522727966309,-6.132949352264404
1772452673931,0.8090080618858337,-7.133596897125244
1772452673933,0.8393784165382385,-8.028359413146973
1772452673935,0.8663920760154724,-8.804009437561035
1772452673937,0.8898116946220398,-9.449091911315918
1772452673939,0.9094218015670776,-9.954089164733887
1772452673941,0.9250155687332153,-10.311570167541504
1772452673943,0.9363926649093628,-10.5162935256958
1772452673945,0.9433776140213013,-10.565289497375488
1772452673947,0.9458441734313965,-10.457905769348145
1772452673949,0.9437380433082581,-10.195810317993164
1772452673951,0.9370939135551453,-9.782974243164062
